,Name,Boom_Date,How_Big
20,SM C&C,2020-05-17,2.56
28,경남제약,2018-12-09,2.38
64,넵튠,2020-11-29,2.94
75,다날,2021-02-14,2.94
78,대원미디어,2020-03-08,5.56
79,대원미디어,2021-04-11,2.11
147,바른손,2020-02-09,4.17
168,뷰웍스,2018-09-30,2.08
186,삼진,2020-10-25,2.38
213,소리바다,2017-07-23,5.56
232,시그네틱스,2021-01-24,2.08
271,아이오케이,2020-09-06,4.76
306,에이치케이,2021-07-25,6.2
331,연우,2021-08-29,2.17
342,오스템임플란트,2021-11-28,2.38
351,와이지엔터테인먼트,2021-10-03,2.78
364,위닉스,2019-03-03,2.43
367,위메이드,2021-08-29,2.2
397,이수앱지스,2021-02-14,2.56
405,이화전기,2021-02-14,2.56
415,인터파크,2019-09-22,2.04
439,지니뮤직,2018-11-04,2.38
491,키이스트,2018-03-11,2.86
502,테스,2020-09-27,3.19
506,텔콘RF제약,2017-12-03,2.08
578,헬릭스미스,2019-09-22,2.08
